,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
MalConvRsDel,0.29114189756507136,0.3318639798488665,0.30058774139378674,0.2926112510495382,0.28547439126784213,0.29869857262804367
AvastStyleConvRsDel,0.22334172963895885,0.31192275398824515,0.25146935348446686,0.24202350965575148,0.20214105793450882,0.21767422334172964
BBDnnRsDel,0.7031905961376994,0.7090680100755667,0.7063392107472712,0.6975230898404702,0.702350965575147,0.7088581024349286
NGramConvRsDel,0.4422753988245172,0.47628043660789254,0.45004198152812763,0.4529806884970613,0.4265323257766583,0.4544500419815281
MalConvRS,0.5887909319899244,0.6244752308984047,0.6041141897565071,0.5803946263643996,0.5850125944584383,0.621536523929471
AvastStyleConvRS,0.2804366078925273,0.4103694374475231,0.36502938706968935,0.2947103274559194,0.28085642317380355,0.34760705289672544
BBDnnRS,0.9055415617128464,0.9047019311502938,0.8927371956339211,0.873215785054576,0.9145675902602854,0.917086481947943
NGramConvRS,0.2861041141897565,0.32472712006717047,0.2968094038623006,0.30163727959697734,0.27246011754827876,0.2959697732997481
MalConvFDRS,0.5543660789252729,0.6519731318219983,0.6410579345088161,0.5417716204869857,0.5667506297229219,0.6274139378673383
AvastStyleConvFDRS,0.5839630562552477,0.654911838790932,0.6286733837111671,0.5537363560033586,0.6043240973971452,0.6093618807724601
BBDnnFDRS,0.6236356003358522,0.6311922753988245,0.6465155331654072,0.6160789252728799,0.6139798488664987,0.646095717884131
NGramConvFDRS,0.943744752308984,0.9317800167926112,0.920864819479429,0.9372376154492024,0.9321998320738875,0.9372376154492024
MalConvKDRS,0.5486985726280437,0.6225860621326617,0.5646515533165407,0.5373635600335852,0.5457598656591099,0.5445004198152813
AvastStyleConvKDRS,0.5329554995801847,0.6045340050377834,0.5719983207388749,0.5298068849706129,0.5174223341729639,0.5650713685978169
BBDnnKDRS,0.6026448362720404,0.6011754827875735,0.6236356003358522,0.5921494542401343,0.5978169605373636,0.6133501259445844
NGramConvKDRS,0.8807724601175483,0.8587321578505458,0.8366918555835432,0.8614609571788413,0.8700671704450041,0.864399664147775
MalConvRDRS,0.4813182199832074,0.5684298908480269,0.5182619647355163,0.4808984047019311,0.4920235096557515,0.5207808564231738
AvastStyleConvRDRS,0.43975650713685976,0.5463895885810244,0.48971452560873213,0.44080604534005036,0.43807724601175485,0.4922334172963896
NGramConvRDRS,0.471872376154492,0.5451301427371956,0.5314861460957179,0.49307304785894207,0.46704450041981527,0.5346347607052897
BBDnnRDRS,0.5377833753148614,0.5396725440806045,0.554575986565911,0.5390428211586902,0.533585222502099,0.5382031905961377
MalConvSDRS,0.46767422334172964,0.5636020151133502,0.5027287993282955,0.46998320738874894,0.4783795130142737,0.5117548278757347
AvastStyleConvSDRS,0.44038623005877414,0.5457598656591099,0.5012594458438288,0.43807724601175485,0.4353484466834593,0.49475230898404704
BBDnnSDRS,0.5468094038623006,0.5505877413937867,0.5556255247691015,0.5470193115029387,0.5409319899244333,0.5453400503778337
NGramConvSDRS,0.4836272040302267,0.5445004198152813,0.5268681780016793,0.5044080604534005,0.46704450041981527,0.5365239294710328
,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
MalConvRsDel,0.17632241813602015,0.19584382871536524,0.18324937027707808,0.17611251049538204,0.172544080604534,0.17800167926112512
AvastStyleConvRsDel,0.041771620486985725,0.09949622166246852,0.046809403862300585,0.043031066330814445,0.036523929471032744,0.0426112510495382
BBDnnRsDel,0.7334172963895886,0.7269101595298069,0.7327875734676742,0.727120067170445,0.7283795130142737,0.7256507136859782
NGramConvRsDel,0.3413098236775819,0.35558354324097396,0.3492863140218304,0.3429890848026868,0.34718723761544923,0.34634760705289674
MalConvRS,0.18240973971452562,0.25461796809403864,0.1769521410579345,0.15785054575986565,0.16120906801007556,0.1899664147774979
AvastStyleConvRS,0.14588581024349287,0.1834592779177162,0.16939546599496222,0.16351805205709488,0.16876574307304787,0.17002518891687657
BBDnnRS,0.887489504617968,0.8658690176322418,0.8581024349286314,0.8667086481947943,0.8948362720403022,0.8795130142737195
NGramConvRS,0.2313182199832074,0.2489504617968094,0.2367758186397985,0.2304785894206549,0.22397145256087322,0.23488664987405541
MalConvFDRS,0.10012594458438287,0.1910159529806885,0.12174643157010916,0.09026028547439127,0.08585222502099077,0.10768261964735516
AvastStyleConvFDRS,0.23719563392107473,0.27896725440806047,0.2867338371116709,0.2707808564231738,0.29345088161209065,0.2856842989084803
BBDnnFDRS,0.6192275398824517,0.6274139378673383,0.6175482787573467,0.6171284634760705,0.6353904282115869,0.6265743073047859
NGramConvFDRS,0.4649454240134341,0.5031486146095718,0.46578505457598657,0.4456339210747271,0.4651553316540722,0.5214105793450882
MalConvKDRS,0.15931989924433249,0.24790092359361882,0.1702350965575147,0.14147774979009237,0.12930310663308145,0.16393786733837112
AvastStyleConvKDRS,0.2770780856423174,0.3152812762384551,0.31276238455079763,0.29743912678421497,0.306255247691016,0.30835432409739716
BBDnnKDRS,0.5856423173803527,0.5858522250209908,0.5919395465994962,0.5852225020990764,0.5978169605373636,0.5927791771620488
NGramConvKDRS,0.3900083963056255,0.46641477749790095,0.43115029387069687,0.4082703610411419,0.4244332493702771,0.4534005037783375
MalConvRDRS,0.12174643157010916,0.20549958018471873,0.1452560873215785,0.11460957178841309,0.10768261964735516,0.12804366078925272
AvastStyleConvRDRS,0.23971452560873216,0.2672124265323258,0.2678421494542401,0.26490344248530645,0.2783375314861461,0.27267002518891686
NGramConvRDRS,0.11083123425692695,0.18261964735516373,0.1299328295549958,0.10411418975650713,0.09655751469353484,0.11041141897565071
BBDnnRDRS,0.5398824517212426,0.5371536523929471,0.5356842989084802,0.542191435768262,0.5344248530646516,0.5365239294710328
MalConvSDRS,0.1081024349286314,0.19626364399664148,0.1330814441645676,0.10075566750629723,0.09655751469353484,0.11397984886649874
AvastStyleConvSDRS,0.21914357682619648,0.2531486146095718,0.2577665827036104,0.24370277078085642,0.26364399664147775,0.26595298068849704
BBDnnSDRS,0.5411418975650714,0.5440806045340051,0.5382031905961377,0.5447103274559194,0.5392527287993283,0.5428211586901763
NGramConvSDRS,0.10075566750629723,0.1847187237615449,0.12783375314861462,0.09886649874055416,0.09235936188077246,0.10621326616288833
,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
MalConvRsDel,0.1759026028547439,0.27308984047019313,0.19143576826196473,0.1756926952141058,0.17443324937027707,0.18178001679261124
AvastStyleConvRsDel,0.04072208228379513,0.21914357682619648,0.06318219983207389,0.04093198992443325,0.0337951301427372,0.041561712846347604
BBDnnRsDel,0.7267002518891688,0.7353064651553316,0.7319479429051218,0.727120067170445,0.727120067170445,0.7279596977329975
NGramConvRsDel,0.3394206549118388,0.4160369437447523,0.35516372795969775,0.33921074727120065,0.34005037783375314,0.3459277917716205
MalConvRS,0.17548278757346766,0.36314021830394627,0.23509655751469352,0.15659109991603695,0.15910999160369438,0.18849706129303107
AvastStyleConvRS,0.15554156171284636,0.25608732157850544,0.209487825356843,0.1658270361041142,0.16918555835432408,0.1756926952141058
BBDnnRS,0.8885390428211587,0.8664987405541562,0.8612510495382032,0.8648194794290512,0.8988245172124265,0.8835012594458438
NGramConvRS,0.23005877413937867,0.3054156171284635,0.25482787573467675,0.22858942065491183,0.22292191435768263,0.2313182199832074
MalConvFDRS,0.09676742233417296,0.33123425692695213,0.18324937027707808,0.086272040302267,0.08354324097397145,0.11586901763224182
AvastStyleConvFDRS,0.24748110831234257,0.3723761544920235,0.34676742233417296,0.2806465155331654,0.29303106633081444,0.29303106633081444
BBDnnFDRS,0.6257346767422334,0.6423173803526449,0.6423173803526449,0.6175482787573467,0.6309823677581864,0.6280436607892528
NGramConvFDRS,0.4563392107472712,0.5978169605373636,0.5321158690176322,0.4466834592779177,0.4521410579345088,0.5098656591099916
MalConvKDRS,0.15155331654072207,0.371536523929471,0.22795969773299748,0.12573467674223343,0.12909319899244331,0.15596137699412257
AvastStyleConvKDRS,0.2840050377833753,0.37741393786733834,0.3545340050377834,0.30100755667506296,0.3052057094878254,0.3140218303946264
BBDnnKDRS,0.5900503778337531,0.6007556675062973,0.6114609571788413,0.5871116708648195,0.596767422334173,0.595088161209068
NGramConvKDRS,0.39021830394626367,0.5612930310663308,0.47670025188916876,0.4156171284634761,0.4324097397145256,0.4517212426532326
MalConvRDRS,0.11964735516372796,0.3396305625524769,0.20172124265323257,0.10957178841309824,0.10579345088161209,0.1286733837111671
AvastStyleConvRDRS,0.2504198152812762,0.34844668345927793,0.3075146935348447,0.26511335012594456,0.2749790092359362,0.2777078085642317
