i,model,num_epochs,time_per_epoch,total_training_time_seconds
0,ResNet18,16,493.83,7901.28
1,AvastConv,9,3046.11,27414.99
2,AvastConvRS,7,4109.61,28767.269999999997
3,AvastConvRsDel,14,117.01,1638.14
4,AvastConvFDRS,42,173.44,7284.48
5,AvastConvKDRS,47,271.08,12740.759999999998
6,AvastConvRDRS,25,424.91,10622.75
7,AvastConvSDRS,25,424.91,10622.75
8,BBDnn,16,1350.21,21603.36
9,BBDnnRS,23,1645.52,37846.96
10,BBDnnRsDel,46,65.21,2999.66
11,BBDnnFDRS,40,448.92,17956.8
12,BBDnnKDRS,51,373.43,19044.93
13,BBDnnRDRS,13,407.32,5295.16
14,BBDnnSDRS,13,407.32,5295.16
15,MalConv,7,10049.43,70346.01000000001
16,MalConvRS,41,12860.38,527275.58
17,MalConvRsDel,32,327.39,10476.48
18,MalConvFDRS,54,141.71,7652.34
19,MalConvKDRS,80,289.63,23170.4
20,MalConvRDRS,16,233.94,3743.04
21,MalConvSDRS,16,233.94,3743.04
22,NGramConv,26,3317.22,86247.72
23,NGramConvRS,15,4348.85,65232.75000000001
24,NGramConvRsDel,42,113.33,4759.86
25,NGramConvFDRS,48,183.03,8785.44
26,NGramConvKDRS,47,396.66,18643.02
27,NGramConvRDRS,17,433.76,7373.92
28,NGramConvSDRS,17,433.76,7373.92
