hash,CS,FD,gamma_5,gamma_10,gamma_20,gamma_30,gamma_50
0007f8bbd76b65572308471d8b48a32e8f0dcf86ca0dabda6039007d39df4642,4096,208,209408,567808,237056,745472,718848
00110e655b2fe6a8dc95c6f078ab724b5b419272e57c13445becf38a324c9a5e,4096,16,293838,743886,645582,669646,726478
00124dca1b7eb0706dee318ab61b1e4be2ebe804ae45d37524c5da0432bd48ce,4096,232,292864,369152,666112,361472,664064
0013a6e0213e662880fd84f2b0b41d496c085a694c2e8c6878682fa08b6e2054,4096,128,292864,749568,749568,749568,749568
001c3599bdf9830c765af73e5a5bc69c2b20d61bb9aea70910e263eb6eb97a85,4096,128,294912,696320,716800,745472,741376
001e6f0fa6dd3452214bd7b1ae6ebfdb2497194de0b822e50863a1581b706d3d,4096,240,251392,603648,460800,623616,724992
0021361c3ecc3eb7b82d0fa5bf2d06e14177059ee9e178e0a04d42ed5e3862c4,4096,184,225280,262144,675840,765952,761856
002244422c5146be2169340c5438f65e3103664b6af768493d615952168b326a,4096,128,271872,718848,699392,746496,669184
002bd120ed19908887e609f68f7bf322598a8a38b4a623179da5b872f4801062,4096,224,287232,749568,622592,749568,683008
0032287ba78d521333c45425685b66f0b45eb0392a717b6a4897976c442dbce4,4096,232,303104,303104,659456,602112,200704
006654ff5f9fb3da539bf77f8779660cd5c7c04c4ad9aab03c76240960eacc5f,4096,128,282112,713728,754688,672256,754688
007d82263a3894beaaa8104a305af76d5ebe434d58f09b863f2ce1d8908562a6,-1,-1,99840,744960,745984,750080,750080
00b3ea05cf3a096bc11973414c5a592bc0f210162ad0bd472456749ea6b6c252,-1,224,253952,765952,765952,765952,761856
00c4e571e3ae77c9d5db9c2e9711c4b77a36b78c5142aad6237b79a0dcc35dba,4096,232,292864,737280,749568,706048,738816
00c50baf52bc23e1459c2ac9e71b541b4675c43c8613c55dfe041dfcd4445dad,4096,128,184832,749568,734208,749568,711680
00c6898c364eca08b94aae76cf969d490319433d033726bf5745411477bf3552,4096,184,217088,565248,708608,667648,692224
00cfea53d0277eae23eccdd5042b979b94c3d199f897bb75cdfb21620ade45a6,4096,128,62976,546304,747520,177664,690688
00d76b67f8c70b65b537ee823cdf096dcf7f794b69e5fc62dba592837aabb9af,4096,128,295424,745984,742912,754688,754688
00e04cb0d718394c927270b00ef859953940d5d3f98e03feb03435eb37dd7ef9,4096,248,303104,765952,745472,765952,733184
00e6db8727eb5c79c832f8c3c1d65849c7493057aea205c11637b7c2f0aea932,4096,256,292864,740352,711168,750592,750592
00e90be3346b8802c63ed1df7124c4b56dbf12b7819a8d5a37a63486b2de5717,4096,176,184320,765952,765952,765952,765952
00ff38fa9881ed25077f950d94a38986e4c0ed323ed1596c957c79110f9cd338,4096,128,102400,443392,683520,684032,182784
01035491bbead812a6cf63f0202ca6118c3c0deb0c4059e84b5d4de08a72545d,4096,248,262144,550912,560128,560128,459776
010692ab929f0e7b7df522708f67590cd84506b59d1cbd7cfc7120252d233413,4096,248,147968,740352,712192,750592,745472
012646389057716d2b2fbe65d548da5774a1990fbd05dfd894e729818da2d91a,4096,240,283136,381440,534016,567296,684032
0143457e8ddb0076f98b5a4e8bd0171668ee79e4d5fa0fb8e2abceac8e97cf09,4096,128,100288,633792,340928,686528,46528
014df391c1c5a47740e4d063eae9fab3ed6f040590e079be58a882bd7f5a92db,4096,216,193024,710656,680960,719360,707584
0166ebbcc03aae6d12a0b1987aeeca23c8ac75f12099ef7376ff775f49712b47,4096,128,287680,304064,254400,325056,297408
017224def918d322f34a1a04c01b076daf2fb7ed85dd467d75dc7ad6fa8aa9e8,4096,2248,292864,430592,631808,693760,193024
01a96a3b215c40f6a6814f60d4ae4451a41cb8d33c918990bf99bdc1ab7a4627,4096,200,294912,516096,757760,737280,724992
01b2ef6fcc0672636268e753412815b5dd2f0bb16551e649e13acd253c851cde,4096,128,99840,738304,744960,718336,749056
01b99e939a31f54cbb6bff61112f04addba484443911fadf6811d2714348402e,4096,200,292864,749568,749568,749568,749568
01cc855ad87a2da5361d4d84ac5142f0245db42bea91e416afe9c00002e86dcb,4096,184,200704,544768,765952,688128,765952
01d8cdad695b24798ca3e5051ce8b13fe3d3a2d61b7aef05ad6c1eef032fafa6,4096,240,300418,759170,722306,767362,730498
01dccee7d93e88e018d3115c7f1214e47d9cff2a6bbe91cb79f292492cd978d0,4096,216,159232,409088,745984,571904,749568
01dfab7666a9ab3c3bef049265cdba2fe3346b0b52e6131fa8c7512d951fa71b,4096,232,200704,294912,700416,765952,761856
01f9116de9a9e077dc0fc4225698cc5a1b28165894a0b102a56c559b46e05381,4096,232,292864,714240,692736,701952,722944
0204d1a9b955e3f7a6d1341c7c071047fce97723541cd2fd87c82cf1ae77fd90,4096,200,303104,454656,708608,745472,733184
