hash,FD,CS,gamma_5_x,gamma_10_x,gamma_20,gamma_30,gamma_50,gamma_10_sp,gamma_5_sp
762418c2f4658421830bbee3acab88b866661f86d7b89ec20ea08319cc700fab,-1,-1,288256,322560,743424,696320,714752,4082176,1029632
03169b9fdf7551218fd93dc5c4bba892c1e0e6cb23e64a83660c6fdf3b2f2578,-1,-1,292864,750592,750592,750592,750592,5090304,881664
aae0736da9f70b65df10f5ea6fbaef6cd798c309bd88a625fd8438b42b850ed5,-1,-1,-1,741376,765952,745472,745472,6205440,946176
44a1ffbce298badc4ea35ff23d7204067aae56c9f5db67018bd03e9e3fae0ce9,-1,-1,303104,606208,765952,671744,729088,5832704,1052672
975b851ee871d3c91af626e49cbbc4af08a93dd00bf8961c63987bea5541c573,-1,-1,292864,564736,709632,747520,682496,6088704,518656
866f4f71482ac00371ed3cfc5bb5fbccb2ec58e01e57b871b3fc7927a0d5bfa8,-1,-1,151552,741376,761856,716800,741376,6205440,1126400
32f3a3c7b00021677ae57c758cf6cd7219ead5f90edb8ad0137f6b418f2486b9,-1,-1,292864,735232,711680,717824,601088,1113088,971776
ff0a3e831a55212d3506986d38675831c8588bd1ed602528d2f93ea02c17131f,-1,-1,-1,739461,742533,727685,749701,5999749,1114757
16972af18bb050fe2562829bf0c342a40f306f0f5a7c3240bd6e774cd0282d81,-1,-1,147968,562176,622592,626688,638464,3661312,1051648
655cec18c3000aa84080fe7c30cece3bb6a687c59254a91ec82677513c2efd2a,-1,-1,292864,658944,715264,495616,738304,6126592,1024512
f422bd0b49ac5e5aee261daaa83ef428b3da74970db484fb35e5bd141f2a060b,-1,-1,303104,737280,700416,737280,716800,6160384,1089536
1473a26a022e5bc8aca88249ad156ceb3914d3de5dbae2c2eeb5ad576650e268,-1,-1,-1,660992,699904,727552,750080,6106624,1114624
642072af60ba5eb5945d8796af33c98139324ca82bac973b59ec6c0c777b1d6b,-1,-1,299008,589824,741376,765952,733184,5820416,1085440
be11fcb2aa14e585b9c60b566484da2b4d62c9bdd7f0b8c0de3f21c8d5f0bdee,216,4096,303104,765952,745472,765952,753664,4730880,1126400
d5e087fd6870e637ce4e40db994302626302304401b659e463f03aa513d2c28a,-1,-1,293312,707520,747968,731584,705984,3897792,1115072
a740a64a1db948604a5e29d28aa5c740e913e371d55163f4d9757212ebe19687,-1,-1,294400,676352,742400,728064,429056,6189056,1044480
adf73db64ce4ab0f108fdf409ed40d678b5aec44ce4766243d1aa9cace51bfc0,-1,-1,303104,745472,741376,741376,729088,6168576,1126400
f81c06fe305043ef40a4f3d1500be68608e8739077b7ec4ed20fdab8e9706412,-1,-1,303104,737280,765952,765952,765952,5718016,1126400
509cccc6bc7f82e14eac46cd9cc59133be8b2ac37b7e6214aea31492098d3171,-1,-1,278528,765952,761856,765952,749568,6033408,933888
704b234ca90bb0503d9e05eba0f88480e65d4f22798808f208b803c06f9a3b7c,-1,-1,289792,746496,740864,535040,652288,3837440,924672
b80af16578c3da9537cf760893e40db3c48f378e4467f010a4827e2583e7d4c9,-1,-1,206336,435200,622592,749568,718848,6184960,1114624
6b692a1121e0a5c3cfe7128434f1b19c8652cde6787ff543b25f612904721d05,-1,-1,-1,749701,-1,749701,749701,6185093,1114757
0b05e547b1dfcefe2d5d4e4c252f6664c11e414e5738a67beb25d844fc1d30b0,-1,-1,277952,472512,425408,746944,750016,6113728,1115072
2229b4f92ef299144dd1aaec9987b0a50f4c4404e95b3a92b0be7c1e534696a6,-1,-1,292864,706048,733696,752128,752128,5668864,923136
0ce886939020314f820461c7d3208a55ea1fd0e64886a81f50f544f18aa7b24a,-1,-1,287744,718336,731136,724992,749568,6184960,1114624
f1aae1bbd44d89feed5c0d644b1e386cddc58353ec716d0090c19b05436deed1,-1,-1,294912,729088,753664,724992,745472,4354048,929792
48d5d0a260a5bcd5fa6a397da3c9f62500ead6c555bd2a347dcfc27c0a11a882,-1,-1,292864,685056,749568,622592,724992,5609984,1084928
e78899b1afb51285e9f06fc476bfc3070c93267172ba0aaa012b2d6e8241f809,-1,-1,-1,-1,-1,-1,-1,-1,-1
bd289227980e1c02155319dd80d2385800cfd071374443a4b580c19bf4e050b9,-1,-1,267264,750080,618496,694272,638976,6185472,923136
86e4ff587f95c7f362944aee1aba37473b5ca9a97404fdd42e60da1ed4d47339,-1,-1,303104,720896,765952,753664,589824,4718592,991232
c90a56b483a56f6743fdd5d79c11380c5f49fb175c4b3308da653ee91c3dd924,-1,-1,293308,750012,750012,727996,729020,6153148,1115068
e8e84c31e108801e96dfcbb0af8377887a4094e3a7e67f8a659b9f60ae58bda3,-1,-1,303104,700416,741376,700416,724992,6205440,1101824
d5179ed2d8ff8262149d5fb5076cc009068d1db3f95db3ae3f5aebe4a2b454fa,-1,-1,272384,734208,721408,669184,749568,6160896,923136
d4966adaebe53be8b04fb277efc1439737881a89e9da1c265639fc27424ef894,-1,-1,262144,749568,667648,688128,765952,6078464,933888
2306af5c9f7eab6cb9fa0d8fe20e5a424cab5c689009252ffef58e36de50f619,-1,-1,246784,747008,743424,723456,729088,6185984,1035776
7fa935ee291fcfd2535e1530b576dd8347a0d2c7b13223883b215366501d9380,-1,-1,292864,460288,727552,706048,728576,6187520,1114624
ca10d24994b2e76130bacfc3a1dc977c224f32cda9de1801204ab1dfaa6a2403,-1,-1,282624,688128,729088,737280,737280,5177344,1126400
0f9b9a6405fd4c6041bda920f925853aaa28a8145e37d9b5dac734d1bad44f03,-1,-1,202752,711680,750080,672768,701440,6097408,1076736
8b7b76998f535f63a3e000804508bfe1ba9b0b6af256d14fa223fd707da6372a,-1,-1,293750,753014,740214,719734,738678,6188406,1115510
16dac4b22648517e4f4b3066dbd4c2c1517ac04247edcb0cf48c6bbb63a26d00,-1,-1,288768,715264,739840,743936,626688,5903360,988160
