model,mean,std
MalConv,0.02386159968376155,0.013001606160717456
AvastStyleConv,0.02086342453956599,0.00556042522825329
BBDnn,0.018064897298812818,0.006884315713511507
NGramConv,0.0844375591278076,0.04225635166056512
EmberGBDT,0.14071098732948303,0.15446888375847542
ResNet18,0.04867345285415645,0.04373956051053099
MalConvRsDel,1.6538229110240936,2.0564578184020434
AvastStyleConvRsDel,1.9077726902961731,2.330936801922122
BBDnnRsDel,2.9419176206588746,2.9766397858492035
NGramConvRsDel,1.9396864898204804,2.373923829039924
MalConvRS,2.391761772155762,1.1971595156199504
AvastStyleConvRS,2.1267027542591097,0.766050226824075
BBDnnRS,2.3846827483177186,0.3686286373106745
NGramConvRS,4.883933896303177,2.334288535843563
MalConvFDRS,0.013591801404952954,0.008034123972494842
AvastStyleConvFDRS,0.00941418981552119,0.0031102723563427967
BBDnnFDRS,0.013721562862396194,0.004262876426937012
NGramConvFDRS,0.04140916800498958,0.02116561719116464
MalConvKDRS,0.011473645448684643,0.006347024670483612
AvastStyleConvKDRS,0.0077620205879210934,0.002708906637714601
BBDnnKDRS,0.009146381139755199,0.004672376356674843
NGramConvKDRS,0.04280898666381832,0.022063787399053115
MalConvRDRS,0.17415714931488038,0.08303954166309607
AvastStyleConvRDRS,0.2011931321620941,0.07218113350520376
NGramConvRDRS,0.43262491226196287,0.20353835367341278
BBDnnRDRS,0.22449827337265016,0.03443956816254786
MalConvSDRS,0.1755248157978058,0.08589793741500512
AvastStyleConvSDRS,0.19226078748703002,0.06923735445386904
BBDnnSDRS,0.22999034214019776,0.037871093885882626
NGramConvSDRS,0.4093063251972198,0.19157627410046627
