,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
AvastStyleConv_CS,0.202350966,0.317380353,0.337111671,0.329764903,0.352015113,0.318849706
AvastStyleConv_FD,0.297229219,0.397355164,0.39945424,0.393576826,0.397984887,0.396095718
AvastStyleConv_gamma_05,0.166876574,0.212426532,0.22418136,0.230268682,0.253358522,0.235936188
AvastStyleConv_gamma_10,0.016162888,0.04806885,0.026238455,0.024769102,0.023719563,0.028757347
AvastStyleConv_gamma_20,0.016372796,0.087741394,0.0302267,0.029806885,0.020990764,0.029806885
AvastStyleConv_gamma_30,0.017212427,0.104743913,0.030016793,0.020990764,0.028757347,0.035684299
AvastStyleConv_gamma_50,0.02308984,0.08543241,0.027078086,0.028547439,0.020990764,0.034424853
AvastStyleConvFDRS_CS,0.94752309,0.930310663,0.949832074,0.949832074,0.93324937,0.952980688
AvastStyleConvFDRS_FD,0.965994962,0.965365239,0.965155332,0.965785055,0.965785055,0.964945424
AvastStyleConvFDRS_gamma_05,0.583963056,0.654911839,0.628673384,0.553736356,0.604324097,0.609361881
AvastStyleConvFDRS_gamma_10,0.237195634,0.278967254,0.286733837,0.270780856,0.293450882,0.285684299
AvastStyleConvFDRS_gamma_20,0.247481108,0.372376154,0.346767422,0.280646516,0.293031066,0.293031066
AvastStyleConvFDRS_gamma_30,0.255247691,0.374685139,0.304575987,0.277497901,0.298488665,0.305415617
AvastStyleConvFDRS_gamma_50,0.260285474,0.367338371,0.310663308,0.284424853,0.302057095,0.304575987
AvastStyleConvKDRS_CS,0.950671704,0.950671704,0.951301427,0.950671704,0.950251889,0.948572628
AvastStyleConvKDRS_FD,0.950251889,0.95109152,0.950251889,0.950251889,0.950461797,0.950041982
AvastStyleConvKDRS_gamma_05,0.5329555,0.604534005,0.571998321,0.529806885,0.517422334,0.565071369
AvastStyleConvKDRS_gamma_10,0.277078086,0.315281276,0.312762385,0.297439127,0.306255248,0.308354324
AvastStyleConvKDRS_gamma_20,0.284005038,0.377413938,0.354534005,0.301007557,0.305205709,0.31402183
AvastStyleConvKDRS_gamma_30,0.289672544,0.393786734,0.320528967,0.298278757,0.309193955,0.323467674
AvastStyleConvKDRS_gamma_50,0.288203191,0.3763644,0.326826196,0.303736356,0.312132662,0.322837951
AvastStyleConvRDRS_CS,0.943115029,0.938287154,0.944584383,0.942485306,0.934298908,0.941855584
AvastStyleConvRDRS_FD,0.942275399,0.940596138,0.941435768,0.939336692,0.942275399,0.940806045
AvastStyleConvRDRS_gamma_05,0.439756507,0.546389589,0.489714526,0.440806045,0.438077246,0.492233417
AvastStyleConvRDRS_gamma_10,0.239714526,0.267212427,0.267842149,0.264903442,0.278337531,0.272670025
AvastStyleConvRDRS_gamma_20,0.250419815,0.348446683,0.307514694,0.26511335,0.274979009,0.277707809
AvastStyleConvRDRS_gamma_30,0.256087322,0.370906801,0.27665827,0.263434089,0.276238455,0.289042821
AvastStyleConvRDRS_gamma_50,0.259865659,0.358942065,0.287993283,0.268052057,0.275188917,0.294290512
AvastStyleConvRS_CS,0.844668346,0.848026868,0.849286314,0.867758186,0.853484467,0.874055416
AvastStyleConvRS_FD,0.918975651,0.919185558,0.922124265,0.922334173,0.921074727,0.919185558
AvastStyleConvRS_gamma_05,0.280436608,0.410369437,0.365029387,0.294710327,0.280856423,0.347607053
AvastStyleConvRS_gamma_10,0.14588581,0.183459278,0.169395466,0.163518052,0.168765743,0.170025189
AvastStyleConvRS_gamma_20,0.155541562,0.256087322,0.209487825,0.165827036,0.169185558,0.175692695
AvastStyleConvRS_gamma_30,0.155331654,0.272879933,0.182199832,0.167926113,0.168345928,0.183039463
AvastStyleConvRS_gamma_50,0.158690176,0.270151134,0.188706969,0.169185558,0.169605374,0.183039463
AvastStyleConvRsDel_CS,0.844248531,0.791561713,0.884970613,0.882031906,0.826826196,0.876574307
AvastStyleConvRsDel_FD,0.907010915,0.908900084,0.907640638,0.907220823,0.908060453,0.9065911
AvastStyleConvRsDel_gamma_05,0.22334173,0.311922754,0.251469353,0.24202351,0.202141058,0.217674223
AvastStyleConvRsDel_gamma_10,0.04177162,0.099496222,0.046809404,0.043031066,0.036523929,0.042611251
AvastStyleConvRsDel_gamma_20,0.040722082,0.219143577,0.0631822,0.04093199,0.03379513,0.041561713
AvastStyleConvRsDel_gamma_30,0.040722082,0.229848866,0.035054576,0.039042821,0.039252729,0.043870697
AvastStyleConvRsDel_gamma_50,0.043870697,0.220822838,0.03736356,0.039672544,0.031905961,0.044080605
AvastStyleConvSDRS_CS,0.942695214,0.942065491,0.942485306,0.942065491,0.943115029,0.942695214
AvastStyleConvSDRS_FD,0.935138539,0.935138539,0.935138539,0.935138539,0.935138539,0.935138539
AvastStyleConvSDRS_gamma_05,0.44038623,0.545759866,0.501259446,0.438077246,0.435348447,0.494752309
AvastStyleConvSDRS_gamma_10,0.219143577,0.253148615,0.257766583,0.243702771,0.263643997,0.265952981
AvastStyleConvSDRS_gamma_20,0.233417296,0.340680101,0.297858942,0.248530647,0.268891688,0.275608732
AvastStyleConvSDRS_gamma_30,0.243912678,0.355583543,0.273929471,0.251049538,0.266792611,0.280856423
AvastStyleConvSDRS_gamma_50,0.244122586,0.340470193,0.286104114,0.256717045,0.266162888,0.284634761
BBDnn_CS,0.988035264,0.89588581,0.987195634,0.988664987,0.989504618,0.986146096
BBDnn_FD,0.983417296,0.967674223,0.983627204,0.982157851,0.983417296,0.982997481
BBDnn_gamma_05,0.968723762,0.949202351,0.991603694,0.97691016,0.970403023,0.975650714
BBDnn_gamma_20,0.937237615,0.913937867,0.948992443,0.939336692,0.94752309,0.939546599
BBDnn_gamma_30,0.950041982,0.916246851,0.941225861,0.939756507,0.955079765,0.933459278
BBDnn_gamma_50,0.940596138,0.919815281,0.944164568,0.928211587,0.95193115,0.941855584
BBDnnFDRS_CS,0.964105793,0.950041982,0.964525609,0.962006717,0.961796809,0.958858102
BBDnnFDRS_FD,0.964525609,0.963685978,0.964735516,0.964525609,0.964105793,0.963895886
BBDnnFDRS_gamma_05,0.6236356,0.631192275,0.646515533,0.616078925,0.613979849,0.646095718
BBDnnFDRS_gamma_10,0.61922754,0.627413938,0.617548279,0.617128463,0.635390428,0.626574307
BBDnnFDRS_gamma_20,0.625734677,0.64231738,0.64231738,0.617548279,0.630982368,0.628043661
BBDnnFDRS_gamma_30,0.625104954,0.643996641,0.629303107,0.619017632,0.630562552,0.637699412
