model,f1_score,accuracy,TPR,FPR
AvastStyleConv,0.7763,0.8033,0.6399,0.01
BBDnn,0.966,0.9646,0.9424,0.01
EmberGBDT,0.995,0.9946,0.9984,0.0098
MalConv,0.9856,0.9847,0.98,0.01
NGramConv,0.9789,0.9777,0.967,0.01
ResNet18,0.9745,0.9732,0.9586,0.01
AvastStyleConvRS,0.6341,0.6306,0.6001,0.3345
AvastStyleConvRsDel,0.9693,0.9674,0.9648,0.0297
BBDnnRS,0.6712,0.585,0.7943,0.654
BBDnnRsDel,0.9759,0.9744,0.9717,0.0225
MalConvRS,0.9188,0.9124,0.9296,0.1073
MalConvRsDel,0.9635,0.9615,0.9533,0.0291
NGramConvRS,0.2654,0.5481,0.1531,0.0006
NGramConvRsDel,0.9348,0.9299,0.9423,0.0842
AvastStyleConvFDRS,0.9519,0.9481,0.9619,0.0676
BBDnnFDRS,0.9606,0.9582,0.9566,0.0399
MalConvFDRS,0.9374,0.9327,0.944,0.0802
NGramConvFDRS,0.928,0.9191,0.9785,0.1488
AvastStyleConvKDRS,0.932,0.9253,0.9608,0.1153
BBDnnKDRS,0.9402,0.9374,0.9232,0.0464
MalConvKDRS,0.9359,0.9311,0.9422,0.0815
NGramConvKDRS,0.9252,0.9168,0.9653,0.1388
AvastStyleConvRDRS,0.9441,0.94,0.9491,0.0703
BBDnnRDRS,0.9115,0.9109,0.8607,0.0317
MalConvRDRS,0.9363,0.9315,0.9445,0.0835
NGramConvRDRS,0.9273,0.9206,0.9496,0.1124
AvastStyleConvSDRS,0.9423,0.9383,0.9453,0.0696
BBDnnSDRS,0.9141,0.9133,0.8646,0.031
MalConvSDRS,0.9375,0.9329,0.9444,0.0802
NGramConvSDRS,0.9286,0.922,0.9508,0.1108
