,model,performance_metric,inference_metric,temporal_metric,robustness_metric,rank
6,BBDnn,0.966,0.9820972948285206,0.6651367657839273,0.7897619323290246,0.8778809661645123
0,EmberGBDT,0.995,0.8687403523881798,0.7781050833867864,0.8006230914697285,0.8346817219289542
8,BBDnnFDRS,0.9606,0.9863721486687429,0.6648443691010721,0.5759075255212869,0.8127221845505361
2,NGramConv,0.9789,0.9190290385600229,0.6981605264363604,0.05853168235526015,0.8085947824981916
20,NGramConvFDRS,0.928,0.9594364789131657,0.6316393888023457,0.15361699084011352,0.7798196944011728
1,MalConv,0.9856,0.9764208373595147,0.5220364015394483,0.1838586615577571,0.7492286194494815
12,BBDnnKDRS,0.9402,0.9908953197699056,0.557845454961972,0.5240022348733054,0.749022727480986
18,AvastStyleConvKDRS,0.932,0.9922680261026129,0.5655709978924218,0.18780579384727714,0.7487854989462109
16,MalConvKDRS,0.9359,0.9885919258012351,0.5612888412902043,0.1108803759851868,0.7485944206451021
9,AvastStyleConvFDRS,0.9519,0.9906299849375663,0.5421202533675433,0.18886425359670037,0.7470101266837716
4,ResNet18,0.9745,0.952492112501244,0.5247418010629524,0.008145467847896196,0.7386169567820982
22,NGramConvKDRS,0.9252,0.9580943813937494,0.5374562013195272,0.1347060309156211,0.7313281006597636
15,MalConvRDRS,0.9363,0.8401648559520719,0.5557815289104737,0.10926574241790335,0.6979731924312729
13,MalConvSDRS,0.9375,0.8390165760494116,0.5527271396499588,0.11574621434999692,0.6958718578496852
14,MalConvFDRS,0.9374,0.9865001500609796,0.4471769792907541,0.1067211976699514,0.692288489645377
25,BBDnnRDRS,0.9115,0.7989169561305978,0.5706113351049207,0.45463388170318886,0.6847641456177592
24,BBDnnSDRS,0.9141,0.7945412760345301,0.569814876752497,0.5001743485967579,0.6821780763935135
10,AvastStyleConvRDRS,0.9441,0.8177544816106477,0.5039157174928984,0.160650933010494,0.6608350995517731
11,AvastStyleConvSDRS,0.9423,0.8250916668495872,0.49466806102813154,0.17831244472879923,0.6598798639388594
19,NGramConvSDRS,0.9286,0.6641107672988075,0.5415547420507651,0.11336419398185837,0.6028327546747863
3,BBDnnRsDel,0.9759,0.05276444946342614,0.5827913680931,0.6104132531486741,0.5966023106208871
21,NGramConvRDRS,0.9273,0.6488038045217831,0.5412334188582424,0.10639940269548159,0.5950186116900127
27,BBDnnRS,0.6712,0.09211819959777724,0.5159783606707596,0.6184557587824868,0.5672170597266233
26,AvastStyleConv,0.7763,0.9793527109834426,0.02833765463209017,0.008379009247847907,0.40231882731604507
17,NGramConvRsDel,0.9348,0.14374900949176586,0.6326563891688811,0.1065332263191166,0.3882026993303235
7,MalConvRsDel,0.9635,0.1913171204922722,0.5328581027215248,0.136287814097622,0.3620876116068985
5,AvastStyleConvRsDel,0.9693,0.14841057505695227,0.5325209406212774,0.042674458217655656,0.3404657578391148
23,MalConvRS,0.9188,0.09146839537032653,0.5004462201044625,0.054987900771255975,0.2959573077373945
28,AvastStyleConvRS,0.6341,0.1192297763134014,0.40113128837166684,0.11685314915196042,0.26018053234253413
29,NGramConvRS,0.2654,0.007567186869119428,0.4280564464400256,0.03971152122518006,0.15255576061259005
