,model,performance_metric,inference_metric,temporal_metric,robustness_metric,rank
0,EmberGBDT,1.0,0.8687403523881798,1.0,1.0,0.967185088097045
6,BBDnn,0.944808583800183,0.9820972948285206,0.7975047045827818,0.9802616140362308,0.9261680493119291
8,BBDnnFDRS,0.9347071564594505,0.9863721486687429,0.797009704172003,0.6322590627785426,0.8375870180196847
12,BBDnnKDRS,0.8970347159202873,0.9908953197699056,0.6252498640337325,0.558436629920164,0.7679041324110224
24,BBDnnSDRS,0.8499433220441768,0.7945412760345301,0.6435635379063461,0.5258095266753937,0.7034644156651116
2,NGramConv,0.9691617242209584,0.9190290385600229,0.854352534441738,0.042748613670242575,0.6963229777232405
25,BBDnnRDRS,0.8453191918236546,0.7989169561305978,0.6447899456114815,0.4655737401842339,0.6886499584374919
20,NGramConvFDRS,0.8748696216887323,0.9594364789131657,0.7417278715355827,0.12953070622302063,0.6763911695901254
1,MalConv,0.9819347548111713,0.9764208373595147,0.5717514641443556,0.15890651562037852,0.672253392983855
9,AvastStyleConvFDRS,0.9185469351875777,0.9906299849375663,0.6015204727534957,0.16385505764136357,0.6686381126300008
18,AvastStyleConvKDRS,0.8821070909369814,0.9922680261026129,0.6370451440636368,0.16280659530386202,0.6685567141017732
16,MalConvKDRS,0.8891915516465977,0.9885919258012351,0.6304959363440324,0.08950365037362873,0.6494457660413735
22,NGramConvKDRS,0.8698205908587977,0.9580943813937494,0.5945538512996982,0.11160756199760248,0.633519096387462
4,ResNet18,0.9608199000853737,0.952492112501244,0.5757267459653848,0.0,0.6222596896380006
13,MalConvSDRS,0.8921059992547519,0.8390165760494116,0.6174853072885205,0.09397516906705211,0.610645762914934
15,MalConvRDRS,0.8899197264398017,0.8401648559520719,0.622114076571103,0.08802466543444405,0.6100558310993551
14,MalConvFDRS,0.8919237096326357,0.9865001500609796,0.46591355131401674,0.08569873466936133,0.6075090364192484
11,AvastStyleConvSDRS,0.9008773730748567,0.8250916668495872,0.5321357061519059,0.15345236078768604,0.602889276716009
10,AvastStyleConvRDRS,0.9041775080396526,0.8177544816106477,0.5454006168440426,0.13628418759777483,0.6009041985230295
3,BBDnnRsDel,0.9634701365937107,0.05276444946342614,0.6636672833619406,0.6834985322223179,0.5908501004103489
19,NGramConvSDRS,0.8759533973828836,0.6641107672988075,0.6006740453335638,0.09178346521170755,0.5581304188067406
21,NGramConvRDRS,0.873606038301565,0.6488038045217831,0.6001933189929267,0.08540500797700767,0.5520020424483206
17,NGramConvRsDel,0.8871905721751988,0.14374900949176586,0.7433939323522968,0.08552714747306,0.46496516537308036
7,MalConvRsDel,0.9401252155696286,0.1913171204922722,0.5877174768431647,0.1130937651216085,0.45806339450666844
27,BBDnnRS,0.4659083793622946,0.09211819959777724,0.562888759281962,0.69569751631052,0.4541532136381385
5,AvastStyleConvRsDel,0.9510085850174193,0.14841057505695227,0.5872174258953299,0.029062064740391445,0.4289246626775232
26,AvastStyleConv,0.620702975534488,0.9793527109834426,0.0,0.00019321361669213979,0.4000622250336557
23,MalConvRS,0.858332898148545,0.09146839537032653,0.5404095591644228,0.03967107694949389,0.3824704824081971
28,AvastStyleConvRS,0.4150369790600664,0.1192297763134014,0.4046409184886435,0.09499544109293553,0.2584757787387617
29,NGramConvRS,0.0,0.007567186869119428,0.4401270445858867,0.026528697977947855,0.1185557323582385
