,model,performance_metric,inference_metric,temporal_metric,robustness_metric,rank
0,EmberGBDT,0.995,0.8766462417803994,0.7781050833867864,0.8006230914697285,0.8625936041592286
6,BBDnn,0.966,0.9822556525161179,0.6651367657839273,0.7897619323290246,0.8507885876572674
8,BBDnnFDRS,0.9606,0.98646416988147,0.6648443691010721,0.5759075255212869,0.7969540161259573
12,BBDnnKDRS,0.9402,0.9909365169308489,0.557845454961972,0.5240022348733054,0.7532460516915316
24,BBDnnSDRS,0.9141,0.8130145138050339,0.569814876752497,0.5001743485967579,0.6992759347885722
25,BBDnnRDRS,0.9115,0.8166610127147734,0.5706113351049207,0.45463388170318886,0.6883515573807207
18,AvastStyleConvKDRS,0.932,0.9922977643239694,0.5655709978924218,0.18780579384727714,0.6694186390159171
9,AvastStyleConvFDRS,0.9519,0.9906736105847277,0.5421202533675433,0.18886425359670037,0.6683895293872428
20,NGramConvFDRS,0.928,0.9602373694440233,0.6316393888023457,0.15361699084011352,0.6683734372716206
1,MalConv,0.9856,0.9766945066685463,0.5220364015394483,0.1838586615577571,0.667047392441438
2,NGramConv,0.9789,0.922137002340901,0.6981605264363604,0.05853168235526015,0.6644323027831304
16,MalConvKDRS,0.9359,0.9886565057821206,0.5612888412902043,0.1108803759851868,0.649181430764378
22,NGramConvKDRS,0.9252,0.9589483911135308,0.5374562013195272,0.1347060309156211,0.6390776558371698
14,MalConvFDRS,0.9374,0.9865904584211186,0.4471769792907541,0.1067211976699514,0.619472158845456
4,ResNet18,0.9745,0.9535856917883421,0.5247418010629524,0.008145467847896196,0.6152432401747977
13,MalConvSDRS,0.9375,0.8506838703539572,0.5527271396499588,0.11574621434999692,0.6141643060884783
11,AvastStyleConvSDRS,0.9423,0.8387426731593977,0.49466806102813154,0.17831244472879923,0.6135057947290821
15,MalConvRDRS,0.9363,0.8516747528927445,0.5557815289104737,0.10926574241790335,0.6132555060552805
10,AvastStyleConvRDRS,0.9441,0.832505592335551,0.5039157174928984,0.160650933010494,0.6102930607097359
3,BBDnnRsDel,0.9759,0.2536836373137738,0.5827913680931,0.6104132531486741,0.6056970646388871
19,NGramConvSDRS,0.9286,0.709568943331081,0.5415547420507651,0.11336419398185837,0.5732719698409261
21,NGramConvRDRS,0.9273,0.6980194127862164,0.5412334188582424,0.10639940269548159,0.5682380585849851
27,BBDnnRS,0.6712,0.29544866516574647,0.5159783606707596,0.6184557587824868,0.5252706961547483
17,NGramConvRsDel,0.9348,0.3401723290775363,0.6326563891688811,0.1065332263191166,0.5035404861413835
7,MalConvRsDel,0.9635,0.3768148944098558,0.5328581027215248,0.136287814097622,0.5023652028072507
5,AvastStyleConvRsDel,0.9693,0.3439058367035369,0.5325209406212774,0.042674458217655656,0.4721003088856175
26,AvastStyleConv,0.7763,0.9795629620593218,0.02833765463209017,0.008379009247847907,0.448144906484815
23,MalConvRS,0.9188,0.2948320274759192,0.5004462201044625,0.054987900771255975,0.4422665370879094
28,AvastStyleConvRS,0.6341,0.3198257329187519,0.40113128837166684,0.11685314915196042,0.3679775426105948
29,NGramConvRS,0.2654,0.16995432267318486,0.4280564464400256,0.03971152122518006,0.22578057258459766
