file,f1_score@Standard,accuracy@Standard,TPR@Standard,FPR@Standard,f1_score@0.1%FPR,accuracy@0.1%FPR,TPR@0.1%FPR,FPR@0.1%FPR,f1_score@1%FPR,accuracy@1%FPR,TPR@1%FPR,FPR@1%FPR,f1_score@5%FPR,accuracy@5%FPR,TPR@5%FPR,FPR@5%FPR
AvastStyleConvFDRS,0.9519,0.9481,0.9619,0.0676,0.0,0.4667,0.0,0.0,0.8034,0.8239,0.6747,0.0057,0.9544,0.9517,0.9482,0.0442
BBDnnFDRS,0.9606,0.9582,0.9566,0.0399,0.0,0.4667,0.0,0.0,0.7386,0.7784,0.5869,0.0027,0.96,0.9574,0.9582,0.0434
MalConvFDRS,0.9374,0.9327,0.944,0.0802,0.0,0.4667,0.0,0.0,0.7687,0.7979,0.6297,0.01,0.9284,0.9258,0.9027,0.0479
NGramConvFDRS,0.928,0.9191,0.9785,0.1488,0.0,0.4667,0.0,0.0,0.0,0.4667,0.0,0.0,0.8996,0.8989,0.8493,0.0443
AvastStyleConvKDRS,0.932,0.9253,0.9608,0.1153,0.0,0.4667,0.0,0.0,0.8673,0.8741,0.7716,0.0089,0.9304,0.9285,0.8956,0.0339
BBDnnKDRS,0.9402,0.9374,0.9232,0.0464,0.0,0.4667,0.0,0.0,0.7662,0.7964,0.6258,0.0087,0.9401,0.9372,0.9235,0.0471
MalConvKDRS,0.9359,0.9311,0.9422,0.0815,0.0,0.4667,0.0,0.0,0.7072,0.7567,0.5512,0.0086,0.9101,0.909,0.8636,0.039
NGramConvKDRS,0.9252,0.9168,0.9653,0.1388,0.0,0.4667,0.0,0.0,0.0,0.4667,0.0,0.0,0.912,0.9105,0.8702,0.0435
AvastStyleConvRDRS,0.9441,0.94,0.9491,0.0703,0.6376,0.7161,0.4683,0.0008,0.8813,0.8859,0.7942,0.0093,0.9423,0.9393,0.9289,0.0488
BBDnnRDRS,0.9115,0.9109,0.8607,0.0317,0.0,0.4667,0.0,0.0,0.7386,0.777,0.5906,0.0099,0.9379,0.9349,0.9208,0.0489
MalConvRDRS,0.9363,0.9315,0.9445,0.0835,0.0,0.4667,0.0,0.0,0.8502,0.8599,0.7457,0.0097,0.9282,0.9254,0.9035,0.0495
NGramConvRDRS,0.9273,0.9206,0.9496,0.1124,0.0,0.4667,0.0,0.0,0.6262,0.7078,0.459,0.008,0.9035,0.902,0.8596,0.0495
AvastStyleConvSDRS,0.9423,0.9383,0.9453,0.0696,0.6288,0.711,0.4589,0.0009,0.8374,0.8496,0.7261,0.0093,0.9401,0.9371,0.9248,0.0488
BBDnnSDRS,0.9141,0.9133,0.8646,0.031,0.0,0.4667,0.0,0.0,0.7239,0.7673,0.5721,0.0097,0.9431,0.9401,0.9306,0.0491
MalConvSDRS,0.9375,0.9329,0.9444,0.0802,0.6028,0.6967,0.4316,0.0004,0.8556,0.8643,0.7537,0.0093,0.9298,0.927,0.9064,0.0496
NGramConvSDRS,0.9286,0.922,0.9508,0.1108,0.0,0.4667,0.0,0.0,0.5729,0.6792,0.4035,0.0059,0.9077,0.906,0.867,0.0495
