sample_idx,MalConv,AvastStyleConv,BBDnn,NGramConv,EmberGBDT,ResNet18,MalConvRsDel,AvastStyleConvRsDel,BBDnnRsDel,NGramConvRsDel,MalConvRS,AvastStyleConvRS,BBDnnRS,NGramConvRS,MalConvFDRS,AvastStyleConvFDRS,BBDnnFDRS,NGramConvFDRS,MalConvKDRS,AvastStyleConvKDRS,BBDnnKDRS,NGramConvKDRS,MalConvRDRS,AvastStyleConvRDRS,NGramConvRDRS,BBDnnRDRS,MalConvSDRS,AvastStyleConvSDRS,BBDnnSDRS,NGramConvSDRS
0,0.0423357486724853,0.0318572521209716,0.0365145206451416,0.1034548282623291,0.1181783676147461,0.0545642375946044,1.2638731002807615,1.4336237907409668,2.4500110149383545,1.5853524208068848,3.207070827484131,3.3923017978668213,3.4591586589813232,5.97187614440918,0.0298554897308349,0.0224750041961669,0.019360065460205,0.0536513328552246,0.0165879726409912,0.0194716453552246,0.0126969814300537,0.0594501495361328,0.2237048149108886,0.2397425174713134,0.6761684417724609,0.2393033504486084,0.2465291023254394,0.229011058807373,0.2083597183227539,0.5167484283447266
1,0.0406088829040527,0.0193886756896972,0.0277595520019531,0.0949454307556152,0.0591950416564941,0.0287480354309082,0.6502730846405029,0.7635958194732666,1.5558359622955322,0.9156262874603271,2.457850456237793,2.599368095397949,3.257455348968506,4.567979097366333,0.0270788669586181,0.0093286037445068,0.0104637145996093,0.0530292987823486,0.0082924365997314,0.007577896118164,0.0054998397827148,0.0533409118652343,0.2149238586425781,0.2240443229675293,0.6160702705383301,0.2265295982360839,0.2365415096282959,0.2172925472259521,0.2152011394500732,0.5058314800262451
2,0.0504560470581054,0.0256750583648681,0.0357015132904052,0.1047906875610351,0.4763908386230469,0.1435630321502685,6.879481315612793,8.36078929901123,10.358973741531372,9.6711905002594,6.855379343032837,7.02318811416626,7.991737127304077,9.74788498878479,0.0339868068695068,0.0172717571258544,0.0166981220245361,0.0576016902923584,0.0227553844451904,0.0086774826049804,0.0062417984008789,0.0607156753540039,0.2210986614227295,0.2265427112579345,0.5259366035461426,0.225081205368042,0.2451612949371338,0.221567153930664,0.2176010608673095,0.526170015335083
3,0.0491516590118408,0.0259475708007812,0.0351777076721191,0.1049482822418212,0.475212812423706,0.1406991481781005,6.423463582992554,8.340555429458618,11.178572177886965,8.880291223526001,6.870534181594849,6.947869777679443,7.95766019821167,9.67885971069336,0.0356602668762207,0.0177369117736816,0.0186374187469482,0.0573396682739257,0.0222847461700439,0.0088274478912353,0.0066926479339599,0.0601375102996826,0.2207551002502441,0.2306742668151855,0.5536317825317383,0.2264347076416015,0.2391369342803955,0.2207124233245849,0.218968391418457,0.5217998027801514
4,0.0425093173980712,0.0182607173919677,0.0269136428833007,0.0935690402984619,0.0608031749725341,0.0277431011199951,0.705378532409668,0.7851600646972656,1.3320631980895996,0.81801438331604,2.414897918701172,2.749032497406006,3.568577527999878,4.871671676635742,0.0285604000091552,0.0094575881958007,0.0105602741241455,0.0510752201080322,0.0087268352508544,0.0080635547637939,0.0061807632446289,0.0539345741271972,0.2176587581634521,0.2304532527923584,0.5380239486694336,0.2287125587463379,0.2355320453643798,0.2150375843048095,0.2158255577087402,0.5608408451080322
5,0.0493900775909423,0.0260117053985595,0.0355424880981445,0.103142499923706,0.4763965606689453,0.1421887874603271,6.773341417312622,8.355241060256958,9.898319721221924,8.460403203964233,6.6830894947052,7.018543243408203,8.036709547042847,9.70957899093628,0.035172700881958,0.0171384811401367,0.0183732509613037,0.0580227375030517,0.0155413150787353,0.009066104888916,0.006223440170288,0.0611128807067871,0.2232289314270019,0.2390756607055664,0.5239150524139404,0.2246012687683105,0.2436532974243164,0.2191922664642334,0.2067642211914062,0.5301578044891357
6,0.0202448368072509,0.0184907913208007,0.0275969505310058,0.0646791458129882,0.045501708984375,0.0236561298370361,0.4932413101196289,0.5564017295837402,1.3344230651855469,0.5953705310821533,1.7971041202545166,2.413078784942627,3.258613109588623,3.819243669509888,0.0102097988128662,0.0096383094787597,0.0104446411132812,0.0390217304229736,0.0076053142547607,0.0076444149017333,0.0055289268493652,0.0390317440032959,0.1618406772613525,0.2482373714447021,0.3737590312957763,0.2246725559234619,0.1732676029205322,0.2051236629486084,0.2210724353790283,0.3898553848266601
7,0.0395607948303222,0.0243186950683593,0.0364415645599365,0.1043787002563476,0.4742882251739502,0.1428430080413818,6.873910903930664,8.354170799255371,10.967319250106812,8.650292158126831,6.821958780288696,7.012155294418335,7.97217869758606,9.715184211730955,0.0351924896240234,0.0173261165618896,0.018491506576538,0.0578954219818115,0.0152118206024169,0.0086259841918945,0.0060069561004638,0.0624537467956543,0.222280740737915,0.2556047439575195,0.564547061920166,0.2261273860931396,0.2475271224975586,0.21205735206604,0.2169246673583984,0.5228695869445801
8,0.0510017871856689,0.0255215167999267,0.0344257354736328,0.106635570526123,0.428361177444458,0.1415798664093017,6.442537546157837,8.19058346748352,10.729552984237673,8.251976013183594,6.88886570930481,6.829084396362305,7.709153652191162,9.707648754119871,0.0351207256317138,0.010585069656372,0.0116097927093505,0.0527224540710449,0.0153841972351074,0.008913516998291,0.0067336559295654,0.0602502822875976,0.234027624130249,0.2436215877532959,0.556727409362793,0.2235386371612548,0.2429516315460205,0.212268590927124,0.2162172794342041,0.5330710411071777
9,0.0462324619293212,0.0235753059387207,0.0324172973632812,0.0980465412139892,0.3160262107849121,0.1044263839721679,3.337449550628662,5.117373704910278,7.999903202056885,5.24885368347168,6.284888505935669,5.696096897125244,6.494293928146362,8.572623491287231,0.0329561233520507,0.0102362632751464,0.0172183513641357,0.0552012920379638,0.0211601257324218,0.0086803436279296,0.0108447074890136,0.0544013977050781,0.2401869297027588,0.2335288524627685,0.5368900299072266,0.2218074798583984,0.2406046390533447,0.2100543975830078,0.2250902652740478,0.5459363460540771
