model,F1-Score@2019-Q1,Acc@2019-Q1,TPR@2019-Q1,FPR@2019-Q1,n_malware,n_goodware,F1-Score@2019-Q2,Acc@2019-Q2,TPR@2019-Q2,FPR@2019-Q2,n_malware,n_goodware,F1-Score@2019-Q3,Acc@2019-Q3,TPR@2019-Q3,FPR@2019-Q3,n_malware,n_goodware,F1-Score@2020-Q1,Acc@2020-Q1,TPR@2020-Q1,FPR@2020-Q1,n_malware,n_goodware,F1-Score@2020-Q2,Acc@2020-Q2,TPR@2020-Q2,FPR@2020-Q2,n_malware,n_goodware,F1-Score@2020-Q3,Acc@2020-Q3,TPR@2020-Q3,FPR@2020-Q3,n_malware,n_goodware,F1-Score@2021-Q1,Acc@2021-Q1,TPR@2021-Q1,FPR@2021-Q1,n_malware,n_goodware,F1-Score@2021-Q2,Acc@2021-Q2,TPR@2021-Q2,FPR@2021-Q2,n_malware,n_goodware,F1-Score@2021-Q3,Acc@2021-Q3,TPR@2021-Q3,FPR@2021-Q3,n_malware,n_goodware,F1-Score@2022-Q1,Acc@2022-Q1,TPR@2022-Q1,FPR@2022-Q1,n_malware,n_goodware,F1-Score@other_future,Acc@other_future,TPR@other_future,FPR@other_future,n_malware,n_goodware,F1-Score@other_past,Acc@other_past,TPR@other_past,FPR@other_past,n_malware,n_goodware
AvastStyleConv,0,0.15,0,0,2074,366,0.0012,0.133,0.0006,0,1644,251,0,0.8159,0,0,192,851,0,0.2044,0,0,1989,511,0.0742,0.2877,0.0385,0,1038,511,0,0.2825,0,0,1577,621,0.0006,0.2347,0.0003,0,3160,968,0.008,0.362,0.004,0,2238,1256,0.0131,0.457,0.0066,0,3029,2512,0.0539,0.8791,0.0277,0,2346,16518,0.6614,0.6197,0.4941,0,1366,451,0.2381,0.2573,0.1351,0.0001,69209,11391
BBDnn,0.8436,0.7652,0.7449,0.1202,2074,366,0.5112,0.4216,0.3485,0.0996,1644,251,0.506,0.7641,0.6562,0.2115,192,851,0.1331,0.2444,0.0729,0.0881,1989,511,0.8671,0.8208,0.789,0.0882,1038,511,0.5816,0.5628,0.4236,0.0837,1577,621,0.4665,0.4559,0.3108,0.0702,3160,968,0.7458,0.7298,0.6189,0.0725,2238,1256,0.6934,0.7313,0.556,0.0573,3029,2512,0.7502,0.9376,0.754,0.0364,2346,16518,0.8902,0.8503,0.8075,0.02,1366,451,0.9673,0.945,0.9473,0.069,69209,11391
EmberGBDT,0.9225,0.8734,0.8862,0.1995,2074,366,0.9675,0.943,0.9769,0.2789,1644,251,0.8861,0.9569,0.9115,0.0329,192,851,0.1165,0.2416,0.0628,0.0626,1989,511,0.9814,0.9722,0.9904,0.0799,1038,511,0.8757,0.8376,0.7971,0.0596,1577,621,0.5779,0.54,0.4114,0.0403,3160,968,0.8442,0.8203,0.7601,0.0725,2238,1256,0.7179,0.7531,0.5748,0.0318,3029,2512,0.8433,0.9598,0.8708,0.0276,2346,16518,0.9588,0.94,0.9283,0.0244,1366,451,0.9858,0.9756,0.9846,0.0793,69209,11391
MalConv,0.918,0.8594,0.9257,0.5164,2074,366,0.4899,0.3858,0.34,0.3147,1644,251,0.3824,0.6779,0.5417,0.2914,192,851,0.2425,0.2752,0.1458,0.2211,1989,511,0.836,0.783,0.7466,0.1129,1038,511,0.8031,0.7416,0.7343,0.2399,1577,621,0.6321,0.548,0.5073,0.3192,3160,968,0.7427,0.7015,0.6725,0.2468,2238,1256,0.6961,0.7241,0.5781,0.0999,3029,2512,0.3442,0.616,0.8103,0.4116,2346,16518,0.8966,0.8575,0.8221,0.0355,1366,451,0.9395,0.9005,0.9003,0.0982,69209,11391
NGramConv,0.7436,0.6266,0.6369,0.4317,2074,366,0.9817,0.9678,0.9939,0.2032,1644,251,0.776,0.9214,0.7396,0.0376,192,851,0.274,0.3004,0.1659,0.1761,1989,511,0.8282,0.7773,0.7245,0.0716,1038,511,0.8138,0.7602,0.7305,0.1643,1577,621,0.4779,0.4421,0.3335,0.2035,3160,968,0.8019,0.7811,0.6917,0.0597,2238,1256,0.8498,0.8466,0.794,0.09,3029,2512,0.676,0.9176,0.691,0.0502,2346,16518,0.8846,0.8437,0.7972,0.0155,1366,451,0.9396,0.9007,0.899,0.089,69209,11391
ResNet18,0.6503,0.5557,0.486,0.0492,2074,366,0.3928,0.3277,0.2506,0.1673,1644,251,0.3506,0.6874,0.4583,0.2609,192,851,0.0495,0.202,0.0261,0.1135,1989,511,0.5067,0.5025,0.3449,0.0468,1038,511,0.8106,0.7625,0.7083,0.0998,1577,621,0.4999,0.4804,0.3392,0.0589,3160,968,0.5851,0.5758,0.4669,0.2301,2238,1256,0.378,0.5582,0.2456,0.0649,3029,2512,0.5999,0.9199,0.4829,0.018,2346,16518,0.6683,0.6214,0.5073,0.0333,1366,451,0.8388,0.7594,0.7289,0.0555,69209,11391
AvastStyleConvRS,0.0705,0.125,0.0391,0.388,2074,366,0.0362,0.1003,0.0195,0.3705,1644,251,0.5753,0.8217,0.6562,0.141,192,851,0.2676,0.2752,0.1664,0.3014,1989,511,0.7185,0.6281,0.6407,0.4077,1038,511,0.7391,0.6756,0.6405,0.2351,1577,621,0.7128,0.6233,0.6108,0.3357,3160,968,0.5413,0.5469,0.4173,0.2221,2238,1256,0.6184,0.6659,0.4952,0.1282,3029,2512,0.2652,0.7325,0.3883,0.2187,2346,16518,0.8421,0.7909,0.7416,0.0599,1366,451,0.899,0.8377,0.8414,0.1852,69209,11391
AvastStyleConvRsDel,0.7227,0.6189,0.5844,0.1858,2074,366,0.9768,0.9594,0.9848,0.2072,1644,251,0.6925,0.8706,0.7917,0.1116,192,851,0.3181,0.3328,0.1956,0.1331,1989,511,0.826,0.7666,0.7476,0.1791,1038,511,0.6433,0.5746,0.5346,0.3237,1577,621,0.8344,0.7718,0.7513,0.1612,3160,968,0.6927,0.6803,0.5626,0.1099,2238,1256,0.7202,0.7338,0.6266,0.1369,3029,2512,0.295,0.546,0.7639,0.4849,2346,16518,0.8826,0.8404,0.798,0.031,1366,451,0.9217,0.8727,0.8724,0.1253,69209,11391
BBDnnRS,0.0675,0.1287,0.0371,0.3525,2074,366,0.2976,0.2401,0.1855,0.4024,1644,251,0.4595,0.6481,0.8125,0.389,192,851,0.2887,0.308,0.1765,0.18,1989,511,0.8492,0.7752,0.8545,0.4518,1038,511,0.7818,0.697,0.7565,0.4541,1577,621,0.8705,0.8154,0.8101,0.1674,3160,968,0.6219,0.5647,0.559,0.4252,2238,1256,0.6727,0.6844,0.5933,0.2058,3029,2512,0.4276,0.7652,0.7055,0.2264,2346,16518,0.8771,0.8321,0.7965,0.0599,1366,451,0.9513,0.9175,0.9386,0.211,69209,11391
BBDnnRsDel,0.9182,0.8676,0.8742,0.1694,2074,366,0.9642,0.9377,0.9672,0.255,1644,251,0.6203,0.8169,0.8125,0.1821,192,851,0.3053,0.3284,0.1855,0.1155,1989,511,0.8359,0.7794,0.7582,0.1598,1038,511,0.7261,0.6547,0.6379,0.3027,1577,621,0.8117,0.742,0.7266,0.2076,3160,968,0.6823,0.6583,0.5728,0.1895,2238,1256,0.8786,0.8679,0.8745,0.1401,3029,2512,0.3429,0.6204,0.7962,0.4045,2346,16518,0.8797,0.8365,0.795,0.0377,1366,451,0.932,0.8886,0.889,0.1137,69209,11391
