filename,threshold_at_fpr_0.01
MalConvRS,0.5699999928474426
AvastStyleConvFDRS,0.9375
AvastStyleConvRDRS,0.8299999833106995
EmberGBDT,0.0891387313604354
MalConvRsDel,0.5899999737739563
ResNet18,0.8088903427124023
AvastStyleConv,0.9998045563697816
NGramConv,0.6172680258750916
BBDnnSDRS,0.8999999761581421
MalConvFDRS,0.9193548560142516
BBDnnKDRS,0.8333333134651184
NGramConvRsDel,0.6399999856948853
NGramConvRS,0.7599999904632568
MalConvRDRS,0.8899999856948853
NGramConvKDRS,1.0
NGramConvSDRS,0.9900000095367432
AvastStyleConvSDRS,0.8299999833106995
AvastStyleConvRsDel,1.0
AvastStyleConvKDRS,0.8333333134651184
MalConv,0.6394553184509277
AvastStyleConvRS,0.9399999976158142
BBDnnRS,0.75
NGramConvRDRS,0.9900000095367432
NGramConvFDRS,1.0
BBDnnRsDel,0.4300000071525574
BBDnnFDRS,0.75
MalConvSDRS,0.8799999952316284
BBDnn,0.5327489972114563
MalConvKDRS,0.9166666865348816
BBDnnRDRS,0.8999999761581421
