bin,n_first_seen (% of total),n_first_seen_in_bin (% of first_seen),fs_avg_abs_diff_months,fs_n_before_timestamp (% of first_seen),fs_n_same_month (% of first_seen),fs_n_after_timestamp (% of first_seen),n_first_submission (% of total),n_first_submission_in_bin (% of first_sub),sub_avg_abs_diff_months,sub_n_before_timestamp (% of first_sub),sub_n_same_month (% of first_sub),sub_n_after_timestamp (% of first_sub),n_errors (% of total)
2019-Q1,105 (4.31%),1 (0.95%),30.02,0 (0.0%),0 (0.0%),105 (100.0%),1846 (75.78%),10 (0.54%),36.07,0 (0.0%),6 (0.33%),1840 (99.67%),590 (24.22%)
2019-Q2,11 (0.58%),0 (0.0%),31.45,0 (0.0%),0 (0.0%),11 (100.0%),1618 (85.56%),3 (0.19%),23.97,0 (0.0%),2 (0.12%),1616 (99.88%),273 (14.44%)
2019-Q3,47 (4.52%),2 (4.26%),23.43,0 (0.0%),2 (4.26%),45 (95.74%),262 (25.22%),6 (2.29%),28.0,0 (0.0%),3 (1.15%),259 (98.85%),777 (74.78%)
2020-Q1,37 (1.58%),1 (2.7%),18.22,0 (0.0%),1 (2.7%),36 (97.3%),508 (21.74%),3 (0.59%),20.87,0 (0.0%),2 (0.39%),506 (99.61%),1829 (78.26%)
2020-Q2,95 (6.8%),1 (1.05%),18.65,1 (1.05%),0 (0.0%),94 (98.95%),707 (50.57%),7 (0.99%),19.22,0 (0.0%),5 (0.71%),702 (99.29%),691 (49.43%)
2020-Q3,211 (9.67%),7 (3.32%),14.01,4 (1.9%),5 (2.37%),202 (95.73%),1052 (48.19%),4 (0.38%),15.51,0 (0.0%),2 (0.19%),1050 (99.81%),1131 (51.81%)
2021-Q1,221 (5.42%),19 (8.6%),11.0,13 (5.88%),12 (5.43%),196 (88.69%),1249 (30.62%),126 (10.09%),10.47,0 (0.0%),89 (7.13%),1160 (92.87%),2829 (69.36%)
2021-Q2,287 (8.58%),51 (17.77%),6.68,35 (12.2%),38 (13.24%),214 (74.56%),1528 (45.69%),204 (13.35%),7.09,0 (0.0%),106 (6.94%),1422 (93.06%),1816 (54.31%)
2021-Q3,214 (4.1%),63 (29.44%),4.15,25 (11.68%),52 (24.3%),137 (64.02%),1796 (34.43%),166 (9.24%),4.99,0 (0.0%),97 (5.4%),1699 (94.6%),3420 (65.57%)
2022-Q1,1078 (5.73%),785 (72.82%),2.33,297 (27.55%),614 (56.96%),167 (15.49%),3571 (18.97%),3249 (90.98%),1.37,0 (0.0%),2299 (64.38%),1272 (35.62%),15256 (81.03%)
